epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.071,1.32906,3.25729,1.16856,0.00225,0.55008,0.11913,0.07243,1.09328,4.21387,1.05483,0.000545744,0.000545744,0.000545744
2,570.491,1.29077,2.39447,1.17376,0.47434,0.49314,0.38788,0.26282,1.18746,3.16801,1.21178,0.00109051,0.00109051,0.00109051
3,862.873,1.2258,2.0599,1.16317,0.42052,0.61379,0.3822,0.24416,1.27261,2.71436,1.30134,0.00162427,0.00162427,0.00162427
4,1155.63,1.23504,1.84286,1.15131,0.40994,0.62487,0.41401,0.26525,1.22269,2.28902,1.15501,0.00161749,0.00161749,0.00161749
5,1436.6,1.20926,1.65409,1.14014,0.32355,0.46242,0.27434,0.17644,1.2137,2.67887,1.23409,0.00160099,0.00160099,0.00160099
6,1717.12,1.1527,1.5237,1.11644,0.42933,0.71022,0.43668,0.3017,1.12702,1.52485,1.08331,0.00158448,0.00158448,0.00158448
7,1996.51,1.15033,1.42706,1.10369,0.43899,0.80116,0.46897,0.30358,1.16274,1.54599,1.08995,0.00156798,0.00156798,0.00156798
8,2280.41,1.13447,1.3786,1.09242,0.44796,0.77841,0.46724,0.32824,1.03979,1.4502,1.05101,0.00155148,0.00155148,0.00155148
9,2565.82,1.13825,1.32842,1.10221,0.45432,0.80429,0.46054,0.31923,1.07511,1.41223,1.07261,0.00153497,0.00153497,0.00153497
10,2855.62,1.10078,1.27896,1.09579,0.47064,0.74071,0.46361,0.31971,1.19126,1.40979,1.14569,0.00151847,0.00151847,0.00151847
11,3135.76,1.08558,1.27492,1.08971,0.44988,0.86162,0.46589,0.32555,1.0391,1.32233,1.04366,0.00150197,0.00150197,0.00150197
12,3415.31,1.11591,1.26646,1.10159,0.42321,0.73099,0.438,0.31813,1.05928,1.39653,1.09441,0.00148546,0.00148546,0.00148546
13,3695.21,1.09548,1.24285,1.1031,0.43538,0.86886,0.46122,0.32199,1.04003,1.3255,1.06808,0.00146896,0.00146896,0.00146896
14,3999.35,1.08146,1.22887,1.08026,0.44001,0.84444,0.46803,0.33706,0.99669,1.23111,1.03294,0.00145246,0.00145246,0.00145246
15,4302.54,1.05311,1.20318,1.06632,0.40718,0.81921,0.44012,0.29264,1.14039,1.34814,1.07803,0.00143595,0.00143595,0.00143595
16,4606.31,1.07225,1.21573,1.0683,0.4316,0.79586,0.4325,0.28751,1.13444,1.57149,1.12633,0.00141945,0.00141945,0.00141945
17,4913.93,1.05141,1.1846,1.07824,0.42406,0.82276,0.42924,0.3074,0.97556,1.30943,1.03669,0.00140295,0.00140295,0.00140295
18,5232.98,1.05572,1.18068,1.06467,0.40751,0.85438,0.44238,0.29111,1.06972,1.46195,1.08906,0.00138644,0.00138644,0.00138644
19,5552.82,1.03545,1.17546,1.05537,0.43908,0.80024,0.43881,0.31264,1.04699,1.49851,1.07031,0.00136994,0.00136994,0.00136994
20,5864.43,1.02344,1.14586,1.04671,0.42314,0.80284,0.42447,0.30042,1.04901,1.40716,1.09334,0.00135344,0.00135344,0.00135344
21,6169.67,1.02115,1.12414,1.05752,0.41638,0.83325,0.43016,0.3019,1.02519,1.34864,1.05291,0.00133693,0.00133693,0.00133693
22,6462.66,1.03608,1.13739,1.05185,0.43483,0.85311,0.45392,0.31901,1.02509,1.33338,1.0417,0.00132043,0.00132043,0.00132043
23,6752.84,1.03477,1.09793,1.05173,0.4154,0.83561,0.43273,0.30085,1.0366,1.46695,1.05583,0.00130393,0.00130393,0.00130393
24,7077.1,1.05853,1.12791,1.06749,0.40539,0.8349,0.42792,0.30002,0.98758,1.396,1.03541,0.00128742,0.00128742,0.00128742
25,7402.98,0.99632,1.10933,1.03609,0.44811,0.86923,0.45623,0.32749,0.98674,1.31358,1.01791,0.00127092,0.00127092,0.00127092
